department,course_code,title,units,description
ENGIN,ENGIN 260A,Models in Engineering,1,"The ﬁrst module begins with foundational concepts and an overview of the use of models in engineering. What is a model? What is the role of data and measurements? The second module will be devoted to mechanistic models: those that are built on prior physical principles. We will classify these into static and dynamical models. The third module will focus on data-based models, culminating with the modern techniques of deep learning. In the process we will learn the"
ENGIN,ENGIN 264A,Modeling and Analyzing the Dynamics of Location and Gripping Soft Robots,1,"Motivated by applications to health care, the field of soft robotics has witnessed explosive"
ENGIN,ENGIN 266A,Finite Difference Methods for Fluid Dynamics,4,"Application of finite difference methods to current problems of fluid dynamics, including compressible and incompressible flow. Sponsoring department: Mechanical Engineering."
ENGIN,ENGIN 266B,Spectral Methods for Fluid Dynamics,4,"Application of spectral methods to current problems of fluid dynamics, including compressible and incompressible flow. Sponsoring department: Mechanical Engineering."
ENGIN,ENGIN 270A,Organizational Behavior for Engineers,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in organizational behavior, including negotiations, power and conflict."
ENGIN,ENGIN 270B,R&D Technology Management & Ethics,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in R&D technology management and ethics through faculty-led case analysis and discussion."
ENGIN,ENGIN 270C,Teaming & Project Management,1,"Designed for professionally-oriented engineering graduate students, this course applies key topics in project management and team dynamics to students concurrent capstone projects."
ENGIN,ENGIN 270D,Entrepreneurship for Engineers,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in entrepreneurship and entrepreneurial finance."
ENGIN,ENGIN 270E,Technology Strategy & Industry Analysis,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in technology strategy and industry analysis."
ENGIN,ENGIN 270F,Data Analytics,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in data analytics."
ENGIN,ENGIN 270G,Marketing & Product Management,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in marketing and product management."
ENGIN,ENGIN 270H,Accounting & Finance for Engineers,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in accounting and finance."
ENGIN,ENGIN 270I,Technology Strategy for Engineering Leaders,1,"Designed for MEng and MTM students, this course explores key topics using the case discussion method. We will discuss technology strategy with the following meta themes; we will open with a case that applies traditional strategy analysis, contrast the traditional framework with new conceptions of platforms and competition. We’ll come to understand traditional economies of scale and barriers to entry and contrast those with network dynamics"
ENGIN,ENGIN 270J,Industry Analysis for Engineering Leaders,1,"Designed for professionally-oriented engineering graduate students, this course explores key topics in industry analysis."
ENGIN,ENGIN 270K,Coaching for High Performance Teams,1,"Designed for professionally-oriented engineering graduate students, this course applies key topics in project management and team dynamics to students concurrent capstone projects."
ENGIN,ENGIN 270L,Global Leadership Expertise,1,The objective of this course is to provide Master of Engineering and Master of Translational Medicine students with insights into the type of leadership skills required to be a successful cross-cultural leader in today's increasingly complex global marketplace.
ENGIN,ENGIN 270M,"Professional Ethics in Technology, Law and Business",1,"Designed for MEng and MTM students. Over the course of the boot camp, students will gain proficiency in verbal leadership, through discussions of technology, legal and business case studies. Topics will include technology management, governance, privacy and disclosure, codes of conduct, whistleblowing, internal investigations, ethical and effective business practices in foreign countries, and ethical and effective leadership."
ENGIN,ENGIN 270N,Innovation Management,1,"Designed for MEng and MTM students. This 1 unit elective provides an in-depth look at the discipline and function of innovation management. The class begins by answering the questions, “What is innovation, innovation management, and how does it differ from product management”. Modules then cover setting an innovation strategy, building support structures inside firms, managing innovation pipelines and processes, and creating a holistic innovation culture. Last, students"
ENGIN,ENGIN 270P,Power and Persuasion for Engineering Leadership,1,This course is designed to provide Masters of Engineering and Masters of Translational Medicine students the opportunity to develop their skills and confidence in power and influence dynamics. It can help change how you see the world and move through it. Future leaders in technology and scientific fields will learn to avoid over-reliance on rational persuasion and apply power dynamics skillfully.
ENGIN,ENGIN 270Q,The Power of Diversity and Inclusion for Engineering Leaders,1,"Engineering efforts in a globalized, multicultural world require a variety of techniques to effectively lead diverse teams. This course examines Diversity, Equity, and Inclusion (DEI) goals, best practices, and strategies of today's inclusive leaders. Through professional interactions, examination of current research, and understanding the competitive advantage of DEI initiatives, students will be prepared to successfully lead in diverse engineering environment"
ENGIN,ENGIN 270R,Product Management for Engineering Leaders,1,"An understanding of the role of Product Manager, and the core skills and frameworks that are the basis of good product practices are important for anyone who wants to build"
ENGIN,ENGIN 270S,Agile Product Development for Engineering Leaders,2,This course gives students the opportunity to experience a full cycle of product development by developing and refining series of prototypes leading to delivering a functioning MVP (Minimally Viable Product) at the Finals. Student teams design a product that will solve real problems and start implementing series of 3 prototypes culminating with a working product MVP. Students will be introduced to professional product development processes & approaches through
ENGIN,ENGIN 273,Deep Tech Commercialization Strategies,3,"This course explores deep technology commercialization at the interface of business, technology, and intellectual property. Students will work in interdisciplinary teams on real-world, deep tech commercialization projects from leading research institutions and startups. Using the concepts taught in the course, student-led teams will conduct technology and patent analyses, explore the competitive technology landscape, and uncover market entry opportunities"
ENGIN,ENGIN 274,Deep Tech Innovation & Entrepreneurship,3,"This course explores the challenges of deep technology innovation and entrepreneurship at the interface of business, technology, and intellectual property. Students will work in interdisciplinary teams with real-world, deep tech ventures that have recently been launched from leading research universities, labs, and startups. The early-stage venture focus of this course gives students the opportunity to work closely with a founder team to"
ENGIN,ENGIN 280A,Electronic Properties of Materials,1,"Introduction to the physical principles underlying the electronic properties of solids from macroscopic to nano dimensions. General solid state physics will be taught in the context of technological applications, including the structure of solids, behavior of electrons and atomic vibration in periodic lattice, and interaction of light with solids. Emphasis will be on semiconductors and the materials physics of electronic and optoelectronic devices."
ENGIN,ENGIN 280E,Photovoltaic Materials,1,This course focuses on the fundamentals of photovoltaic energy conversion with respect to the physical principles of operation and design of eﬃcient semiconductor solar cell devices. This course aims to equip students with the concepts and analytical skills necessary to assess the utility and viability of various modern photovoltaic technologies in the context of a growing global renewable energy market.
ENGIN,ENGIN 281,Development of Modern Materials for the Microelectronics Industry,1,"This course covers the materials science and processing of thin ﬁlm coatings that incorporates fundamental knowledge of materials transport, accumulation, defects and epitaxy. Through this course, an understanding of the fundamental physical and chemical processes which are involved in crystal growth and thin ﬁlm fabrication will be gained. Important synthesis and processing techniques used for the fabrication of electronic and photonic devices will be discussed."
ENGIN,ENGIN 281A,Quantum Physics for Semiconductor Engineers,1,"This is an introduction to non-relativistic quantum physics. General quantum mechanics will be taught in the context of technological relevance, including the brief history and introduction to quantum mechanics, the Schrodinger equation and its solution in one and three dimensions, the formalism of quantum mechanics, and the perturbation theory. Connections to basic atomic, laser and materials physics will be highlighted."
ENGIN,ENGIN 282,Techniques for Electronic Devices Fabrication,1,"This course is designed to give an introduction, and overview of, the techniques used in fabrication of electronic devices. Topics such as materials deposition, patterning, laboratory safety and best practices will be covered. The students will learn basic processes used in the fabrication of silicon-based devices and novel semiconducting materials. After covering the fundamental processes and technologies needed to form an electronic device, the fabrication"
ENGIN,ENGIN C282,Charged Particle Sources and Beam Technology,3,"Topics in this course will include the latest technology of various types of ion and electron sources, extraction and formation of charge particle beams, computer simulation of beam propagation, diagnostics of ion sources and beams, and the applications of beams in fusion, synchrotron light source, neutron generation, microelectronics, lithography, and medical therapy. This is a general accelerator technology"
ENGIN,ENGIN 283,Special Topics in Technology Innovation and Entrepreneurship,1,This course will explore various topics around technology innovation and entrepreneurship. Topics will vary by semester.
ENGIN,ENGIN 283A,A. Richard Newton Lecture Series,1,"This lecture series serves as an entry point for undergraduate and graduate curriculum sequences in entrepreneurship and innovation. The series, established in 2005 is named in honor of A. Richard Newton, a visionary technology industry leader and late dean of the University of California-Berkeley College of Engineering. The course features a selection of high-level industry speakers who share their insights on industry developments, leadership"
ENGIN,ENGIN 290,Special Topics in Management of Technology,2,"Specific topics, hours and units of credit will vary from section to section, year to year. Courses are related classes in the Management of Technology certificate program."
ENGIN,ENGIN 290A,Introduction to Management of Technology,3,"This course is designed to give students a broad overview of the main topics encompassed by management of technology. It includes the full chain of innovative activities beginning with research and development and extending through production and marketing. Why do many existing firms fail to incorporate new technology in a timely manner? At each stage of innovation, we examine key factors determining successful management of technology. What"
ENGIN,ENGIN 290B,Biotechnology: Industry Perspectives and Business Development,2,"This course is designed to examine the strategic issues that confront the management of the development stage biotech company, i.e., after its start-up via an initial capital infusion, but before it might be deemed successful (e.g., by virtue of a product launch), or otherwise has achieved ""first-tier"" status. Thus, the intention is to study the biotech organization during the process of it growth and maturation from an early stage existence"
ENGIN,ENGIN 290E,Marketing Emerging Technologies,3,"The primary goal of this course is to develop in the student the marketing skills needed to compete aggressively as an entrepreneur in technology fields. Upon completion of the course, the student should have developed the following skills: the ability to assess and predict customer needs in markets that may not yet exist; the ability to create and execute marketing plans that necessarily integrate sophisticated technological development with rapidly evolving"
ENGIN,ENGIN 290G,International Trade and Competition in High Technology,3,"This course seeks to make sense of, inter alia, the decline and prospective recovery of U.S. high-technology industries, the evolution of innovation and technology strategies and policies in Western Europe and Asia, the historic and current roles of governments in shaping markets for high-technology goods, and the impact on business strategies of recent developments in early-stage capital markets. Our general approach views technological innovation and competition"
ENGIN,ENGIN 290H,Management of Technology - Doing Business in China,2,"This course prepares students to found a startup business in China or to work with an MNC in China, develops their critical analysis and strategic decision tools and skills needed to compete in the world's most dynamic emerging market, and provides access and useful introductions/Guanxi to aid future business development in China."
ENGIN,ENGIN 290J,Entrepreneurship in Biotechnology,2,"This course will provide students an introduction to the complexities and unique problems of starting a life sciences company. It is designed for both entrepreneurs and students who may someday work in a biotechnology or medical device startup. Students will be exposed to the topics most critical for successfully founding, financing, and operating a life science company, and will be expected to perform many of the same tasks that founders"
ENGIN,ENGIN 290O,Opportunity Recognition: Technology and Entrepreneurship in Silicon Valley,3,"This course is intended to provide the core skills needed for the identification of opportunities that can lead to successful, entrepreneurial high technology ventures, regardless of the individual's ""home"" skill set, whether technical or managerial. We examine in depth the approaches most likely to succeed for entrepreneurial companies as a function of markets and technologies. Emphasis is placed on the special requirements for creating"
ENGIN,ENGIN 290P,Project Management,2,"This course will provide you with a comprehensive view of the elements of modern project management, guidelines for success, and related tools. In organizations today, successful operations keep the organization alive and successful projects move it towards strategic objectives. A project is a one-time or infrequently occurring operation with a unique goal, limited lifespan, and limited resources. The fundamental concepts come from the field"
ENGIN,ENGIN 290S,Supply Chain Management,3,"This course involves the flows of materials and information among all of the firms that contribute value to a product, from the source of raw materials to end customers. Elements of supply chain management have been studied and practiced for some time in marketing, logtistics, and operations management. We will attempt to integrate these different perspectives to develop a broad understanding of how to manage a supply change. This course will focus"
ENGIN,ENGIN 291B,Positive Leadership for Engineers,1,"Positive leadership is the science and application of the leader’s character strengths and subjective experiences to create a personal leadership style that supports employee engagement, productivity, innovation, organizational citizenship, and a culture of well-being. Many Silicon Valley companies already actively promote the creation of a culture of well-being. The course is divided into three sections, (I) gaining insight into one’s individual psychological operating"
ENGIN,ENGIN 295,Communications for Engineering Leaders,1,"Engineering leadership principles integrated with concurrent technical capstone projects for Master of Engineering students. Students enroll in this supplementary course while they are enrolled in Engineering 296M, Capstone project, with their technical department capstone advisor. This project-based course will apply communication skills to the capstone project with a focus on presentations and writing in a professional context."
ENGIN,ENGIN W295A,Communications for Engineering Leaders,1,"Professional communications for Master of Engineering students. The course has two objectives: to develop and/or hone your individual communication skills, as you generate content supporting your career development [fall] and to further your individual and team-based communication skills, as your team generates content for your capstone reporting deliverables [spring]."
ENGIN,ENGIN W295B,Communications for Engineering Leaders,1,"Professional communications for Master of Engineering students. The course has two objectives: to develop and/or hone your individual communication skills, as you generate content supporting your career development [fall] and to further your individual and team-based communication skills, as your team generates content for your capstone reporting deliverables [spring]."
ENGIN,ENGIN 296MA,Master of Engineering Capstone Project,1,"This course is the first of a sequence of two capstone project courses for candidates of the Masters of Engineering degree. Students engage in professionally oriented independent or group research or study under the supervision of a research advisor. The research and study synthesizes the technical, environmental, economic, and social issues involved in the design and operation of complex engineering devices, systems, and organization."
ENGIN,ENGIN 296MB,Master of Engineering Capstone Project,1,"This course is the second of a sequence of two capstone project courses for candidates of the Masters of Engineering degree. Students engage in professionally oriented independent or group research or study under the supervision of a research advisor. The research and study synthesizes the technical, environmental, economic, and social issues involved in the design and operation of complex engineering devices, systems, and organizations."
ENGIN,ENGIN 296MS,Capstone Project,2,"This course is a Capstone Project class for candidates of the Master of Advanced Study in Engineering (MAS-E) degree. Students engage in a professionally-oriented independent research or study, under the supervision of a research advisor, with the goal of synthesizing the technical, environmental, economic, and social issues involved in the design and operation of complex engineering devices, systems, and organizations. Students will develop and demonstrate these"
ENGIN,ENGIN 297,Introspective Leadership,2,"This course provides the framework for leadership development. The class focuses on development of self and emotional intelligence; identification of core values, creation of purpose statements; growth mind-set; ethical decision-making; inspiration of others, conflict resolution, goal setting and teamwork; global and cultural awareness; and development of plans of action. Weekly introspective reflections are required. The class comprises three parts:"
ENGIN,ENGIN 298,Fung Institute Engineering Leadership Speaker Series,1,"This lecture series serves as an inspirational supplement to Master of Engineering graduate curriculum in leadership and innovation. The course features insightful conversations with high-level industry speakers who share their experience with engineering leadership and innovation. Speakers draw from Silicon Valley leadership, Fung Institute capstone project partners and advisory board, MEng Alumni featured in Forbes 30 under 30 and Inc’s Top"
ENGIN,ENGIN 298A,Group Studies or Seminars,1,Advanced group studies or seminars in subjects which are interdisciplinary in the various fields of engineering or other sciences associated with engineering problems. Topics which form the basis of seminars will be announced at the beginning of each semester.
ENGIN,ENGIN 298B,Group Studies or Seminars,1,Advanced group studies or seminars in subjects which are interdisciplinary in the various fields or engineering or other sciences associated with engineering problems. Topics which form the basis of seminars will be announced at the beginning of each semester.
ENGLISH,ENGLISH R1A,Reading and Composition,4,Training in writing expository prose. Instruction in expository writing in conjunction with reading literature. Satisfies the first half of the Reading and Composition requirement.
ENGLISH,ENGLISH R1AN,First-Year Reading and Composition,3,Training in writing expository prose. Instruction in writing and reading expository prose. Satisfies the first half of the Reading and Composition requirement.
ENGLISH,ENGLISH R1B,Reading and Composition,4,Training in writing expository prose. Further instruction in expository writing in conjunction with reading literature. Satisfies the second half of the Reading and Composition requirement.
ENGLISH,ENGLISH 17,Shakespeare,4,Lectures on Shakespeare and reading of his best works.
ENGLISH,ENGLISH 20,Modern British and American Literature,4,Lectures on and discussion of major authors of modern British and American literature.
ENGLISH,ENGLISH 24,Freshman Seminars,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
ENGLISH,ENGLISH 25,English as a Language,4,"An introduction to the grammar of English, including phonology (sound structure), morphology (word structure), syntax (sentence structure), semantics (linguistic meaning), and pragmatics (contextual meaning), with consideration of different varieties of English in use within the United States and throughout the world, and comparison of English with other languages."
ENGLISH,ENGLISH 26,Introduction to the Study of Poetry,4,"Lectures and discussion on poetry intended to develop the student's ability to understand and evaluate a poem. Designed primarily for students whose major is not English, but majors and prospective majors are welcome."
ENGLISH,ENGLISH 27,Introduction to the Study of Fiction,4,"Lectures and discussion intended to develop the student's ability to understand and evaluate fiction. Designed primarily for students whose major is not English, but majors and prospective majors are welcome."
ENGLISH,ENGLISH 28,Introduction to the Study of Drama,4,"Lectures and discussion intended to develop the student's ability to read, understand and evaluate plays. Designed primarily for students whose major is not English, but majors and prospective majors are welcome."
ENGLISH,ENGLISH 29,Major Writers,4,The study of selected works by one or two writers.
ENGLISH,ENGLISH 31AC,Literature of American Cultures,4,"An introduction to the ethnic diversity of American literature. The course will take substantial account of the literature of three or more of the following groups: African Americans, Native Americans, Asian Americans, Chicanos/Latinos, and European Americans. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" well before the beginning of the semester for details."
ENGLISH,ENGLISH 33,African American Literature and Culture,4,Major literary and cultural texts in the African American tradition from origins to the present.
ENGLISH,ENGLISH 37,Chicana/o Literature and Culture,4,Major literary and cultural texts in the Chicana/o tradition from origins to the present.
ENGLISH,ENGLISH 39,Freshman Seminar,4,"Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester. (Sections limited to 15 students each.)"
ENGLISH,ENGLISH 39A,Freshman Seminar,4,"Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester. (Sections limited to 15 students each.)"
ENGLISH,ENGLISH 43A,Introduction to the Writing of Short Fiction,4,A workshop course intended for students who have recently begun to write fiction or who have not previously taken a course in creative writing.
ENGLISH,ENGLISH 43B,Introduction to the Writing of Verse,4,A workshop course intended for students who have recently begun to write verse or who have not previously taken a course in creative writing.
ENGLISH,ENGLISH 43N,Introduction to the Writing of Creative Non-Fiction,4,"A workshop course in creative non-fiction, a prose genre that takes on non-fiction subjects (the world of culture, history, personal experience) but also is alert to the creativity required to translate those subjects into the realm of writing. Students will study exemplary works of creative non-fiction in different modes (e.g. literary journalism, personal essay, travel writing) and write their own works in selected modes as well."
ENGLISH,ENGLISH 45A,Literature in English: Through Milton,4,Historical survey of literature in English: Beginnings through Milton.
ENGLISH,ENGLISH 45B,Literature in English: The Late-17th through the Mid-19th Century,4,Historical survey of literature in English: The late-17th through the mid-19th century.
ENGLISH,ENGLISH 45C,Literature in English: The Mid-19th through the Mid-20th Century,4,Historical survey of literature in English: the mid-19th through the mid-20th century.
ENGLISH,ENGLISH 53,Asian American Literatures and Cultures,4,This course provides a broad introductory survey of early to contemporary Asian American literary and cultural production and an opportunity to develop and practice techniques for analyzing literary and cultural forms. English 53 aims to serve students from across campus and is especially suitable for students who have never taken a college-level literary or cultural studies course and would like to improve their essay-writing skills.
ENGLISH,ENGLISH 80K,Children's Literature,4,The study of selected works written for children.
ENGLISH,ENGLISH 84,Sophomore Seminar,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
ENGLISH,ENGLISH 84A,Sophomore Seminar on Film,2,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Sophomore seminars on film include dedicated lab time for film screenings. Enrollment limited to 15 sophomores."
ENGLISH,ENGLISH 90,Practices of Literary Study,4,"This course is a small, faculty-led seminar on the practice and discipline of literary analysis. It is meant for all students who seek an introductory literature course and would like to improve their ability to read and write critically, including those who may wish to major in English. Focusing on the close study of a few works, rather than a survey of many, the seminar will help students develop college-level skills for interpreting literature"
ENGLISH,ENGLISH 98,Directed Group Study for Freshmen and Sophomores,1,Group study in a field that may not coincide with that of any regular course and must be specific enough to enable students to write essays based upon their studies.
ENGLISH,ENGLISH 98BC,Berkeley Connect,1,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department"
ENGLISH,ENGLISH 99,Independent Study,1,Meetings to be arranged. Reading and regular conference with the instructor in a field that shall not coincide with that of any regular course and shall be specific enough to enable students to write essays based on their studies.
ENGLISH,ENGLISH 100,The Seminar on Criticism,4,"This seminar is designed to provide English majors with intensive and closely supervised work in critical reading and writing. Although sections of the course may address any literary question, period, or genre, they all provide an introduction to critical and methodological problems in literary studies."
ENGLISH,ENGLISH 101,The History of the English Language,4,"The history of the English language from its Indo-European roots, through its Old, Middle, and Early Modern periods, as preserved in the literary heritage, to its different forms in use throughout the world today."
ENGLISH,ENGLISH 102,Topics in the English Language,4,Topics vary from semester to semester.
ENGLISH,ENGLISH 104,Introduction to Old English,4,"Basic introduction to the vocabulary, grammar, and syntax of Old English designed to get students reading original texts immediately. Typical Old English texts include: riddles, charms, medical recipes, laws, chronicles, elegies, saints' lives, heroic poetry, and monster lore."
ENGLISH,ENGLISH 105,Anglo-Saxon England,4,"The five centuries of the Anglo-Saxon period encompass a remarkably diverse range of literature: heroic epics and lyric laments; riddles, recipes, and magic spells; matter-of-fact accounts of monsters and miracles; and histories that set new standards for scholarship. This course surveys Anglo-Saxon literature in modern translation, encompassing texts originally written in both Old English and Latin, and prose as well as verse. At the heart of"
ENGLISH,ENGLISH 107,The English Bible As Literature,4,Introduction to the English Bible treated as a literary work.
ENGLISH,ENGLISH 110,Medieval Literature,4,Development of literary form and idiom throughout the Christian West from the first to the fifteenth century.
ENGLISH,ENGLISH 111,Chaucer,4,Lectures on and discussion of Chaucer's major works.
ENGLISH,ENGLISH 112,Middle English Literature,4,Middle English literature exclusive of Chaucer studied in the original language.
ENGLISH,ENGLISH 114A,English Drama,4,English drama to 1603.
ENGLISH,ENGLISH 114B,English Drama,4,English drama from 1603 to 1700.
ENGLISH,ENGLISH 115A,The English Renaissance,4,Beginnings of the English Renaissance and literature of the 16th century.
ENGLISH,ENGLISH 115B,The English Renaissance,4,Literature of the 17th century.
ENGLISH,ENGLISH 116,Backgrounds of English Literature in the Continental Renaissance,4,A survey of the principal continental documents which are important to an understanding of the English Renaissance.
ENGLISH,ENGLISH 117A,Shakespeare,4,A chronological survey of Shakespeare's career.
ENGLISH,ENGLISH 117B,Shakespeare,4,A chronological survey of Shakespeare's career.
ENGLISH,ENGLISH 117F,Shakespeare and Film,4,"Close study of the texts and films based on 8 to 10 plays. Lectures will emphasize the critical implications of transposing plays to film. The goal of the course is the critical understanding of Shakespeare, and the course satisfies the departmental requirement of a course on Shakespeare in the major."
ENGLISH,ENGLISH 117J,Shakespeare,4,"Study of selected plays, with practice in various critical approaches, e.g., establishing text, relation to source, changing concepts of comedy and tragedy, influence of theatrical conditions on technique."
ENGLISH,ENGLISH 117S,Shakespeare,4,Lectures on Shakespeare and reading of his best works.
ENGLISH,ENGLISH 117T,Shakespeare in the Theatre,4,"The interrelation of Elizabethan plays and stage practices. Classroom exercises, written assignments, and a final examination. The course will usually culminate in the performance of a play."
ENGLISH,ENGLISH 118,Milton,4,Lectures on and discussion of Milton's major works.
ENGLISH,ENGLISH 119,Literature of the Restoration and Early Eighteenth Century,4,"Lectures on and discussion of Dryden, Swift, Pope, and some of their contemporaries."
ENGLISH,ENGLISH 120,Literature of the Later 18th Century,4,Lectures on and discussion of later eighteenth-century British literature.
ENGLISH,ENGLISH 121,Romantic Period,4,"Blake, Wordsworth, Coleridge, Byron, Shelley, Keats, and contemporaries."
ENGLISH,ENGLISH 122,Victorian Period,4,Literature of the Victorian period with an emphasis on poetry and nonfiction prose.
ENGLISH,ENGLISH 125A,The English Novel,4,Defoe through Scott.
ENGLISH,ENGLISH 125B,The English Novel,4,Dickens through Conrad.
ENGLISH,ENGLISH 125C,The European Novel,4,Lectures on and discussion of major European novels.
ENGLISH,ENGLISH 125D,The 20th-Century Novel,4,Lectures on and discussion of major novels of the twentieth century.
ENGLISH,ENGLISH 125E,The Contemporary Novel,4,"Important contemporary novels, some of which may be read in translation."
ENGLISH,ENGLISH 126,British Literature: 1900-1945,4,Lectures on and discussion of British literature written between 1900 and 1945.
ENGLISH,ENGLISH 127,Modern Poetry,4,British and American poetry: 1900 to the present.
ENGLISH,ENGLISH 128,Modern Drama,4,British and American drama: 1860 to the present.
ENGLISH,ENGLISH 130A,American Literature: Before 1800,4,Lectures on and discussion of the major writers of the early American period.
ENGLISH,ENGLISH 130B,American Literature: 1800-1865,4,Lectures on and discussion of the major texts of the American Renaissance.
ENGLISH,ENGLISH 130C,American Literature: 1865-1900,4,Lectures on and discussion of American literature from the Civil War through 1900.
ENGLISH,ENGLISH 130D,American Literature: 1900-1945,4,A survey of modern American literature.
ENGLISH,ENGLISH 131,American Poetry,4,A historical survey of American poetry and its backgrounds.
ENGLISH,ENGLISH 132,American Novel,4,A survey of major American novels.
ENGLISH,ENGLISH 133A,African American Literature and Culture Before 1917,4,Major literary and cultural texts in the African American tradition from origins through World War I.
ENGLISH,ENGLISH 133B,African American Literature and Culture Since 1917,4,Major literary and cultural texts in the African American tradition from the Harlem Renaissance through the twentieth century.
ENGLISH,ENGLISH 133T,Topics in African American Literature and Culture,4,"Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester."
ENGLISH,ENGLISH 134,Contemporary Literature,4,Lectures on and discussion of selected works written since the Second World War.
ENGLISH,ENGLISH 135AC,Literature of American Cultures,4,"Study of the ethnic diversity of American literature. The course will take substantial account of the literature of three or more of the following groups: African Americans, Native Americans, Asian Americans, Chicanos/Latinos, and European Americans. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" well before the beginning of the semester for details."
ENGLISH,ENGLISH C136,Topics in American Studies,4,"A course on the intellectual, cultural, historical, and social backgrounds to American literature. Topics will vary from semester to semester."
ENGLISH,ENGLISH 137A,Chicana/o Literature and Culture to 1910,4,Major literary and cultural texts in the Chicana/o tradition from origins through the Mexican Revolution of 1910.
ENGLISH,ENGLISH 137B,Chicana/o Literature and Culture Since 1910,4,Major literary and cultural texts in the Chicana/o tradition from 1910 through the contemporary Chicana/o period.
ENGLISH,ENGLISH 137T,Topics in Chicana/o Literature and Culture,4,Topics in Chicana/o literature and culture.
ENGLISH,ENGLISH 138,Studies in World Literature in English,4,"An examination of various aspects of the modern literature written in English in Africa, the Caribbean, India, and Southeast Asia. Topics will vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester."
ENGLISH,ENGLISH 139,The Cultures of English,4,"Literatures of various regions in which English is one of the spoken languages, such as Canada, the Caribbean, Australia, Africa, India; and the writings of specific groups or distinctive cultures in the English-speaking world, including the U.S. and the British Isles. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester"
ENGLISH,ENGLISH 141,"Modes of Writing (Exposition, Fiction, Verse, Etc.)",4,"Lectures and discussion on the crafts and/or processes of writing in various genres including fiction, poetry, creative nonfiction, etc. Topics for reading and writing assignments vary semester to semester."
ENGLISH,ENGLISH 143A,Short Fiction,4,A seminar in writing short stories.
ENGLISH,ENGLISH 143B,Verse,4,A seminar in writing poetry.
ENGLISH,ENGLISH 143C,Long Narrative,4,"Students will work through the semester on a single project, either fiction (novel) or nonfiction (biography, history)."
ENGLISH,ENGLISH C143V,Visual Autobiography,4,"Since visual and literary studies have historically been viewed as separate disciplines, we will use theories from both to study those forms of self-representation that defy disciplinary boundaries, or what we call ""visual autobiography."" The course aims to help students become conversant with the elements of alphabetic literacy (reading and writing) and visual literacy (observing and making) in order to develop a third distinctive"
ENGLISH,ENGLISH 143D,Expository and Critical Writing,4,A seminar in expository and critical writing.
ENGLISH,ENGLISH 143E,Playwriting,4,A seminar in playwriting.
ENGLISH,ENGLISH 143N,Prose Nonfiction,4,A seminar in the writing of prose nonfiction as an art.
ENGLISH,ENGLISH 143T,Poetry Translation Workshop,4,Open to those who wish to assimilate foreign influences for writing poetry or to seek a fuller understanding of any foreign poetry by rendering it into English.
ENGLISH,ENGLISH 145,Writing Technology,4,"An introduction to different modes of technological, critical, and creative writing and the intersections among them and to the representation of technology and science in literature, film, and other media. This course is writing-intensive and aims to serve students from across campus."
ENGLISH,ENGLISH 152,Women Writers,4,Topics will vary from semester to semester.
ENGLISH,ENGLISH 153T,Topics in Asian American Literatures and Cultures,4,"Immersive study of a topic in Asian American Literatures and Cultures. Particular offerings may focus on an author, genre, form, literary historical issue, or theoretical problem. Topics vary from term to term. Students should consult the Department's ""Announcement of Classes"" for offerings well before the beginning of the term."
ENGLISH,ENGLISH 154,Native American Literature and Culture,4,"This survey course introduces several prominent genres of Native American literary production, including oral traditions, nonfiction essay, novel, short story, poems, and speculative fiction. Selections are drawn primarily from Native American/Aboriginal writers in the United States and Canada from the nineteenth century to present. Readings will also include a traditional Nez Perce story in the original language, with translation provided by the instructor. In addition"
